row,week_start,week_end,news_lag2w,cong_lag2w,news_t,cong_t
470,2024-01-15,2024-01-21,0,0,0,0
471,2024-01-22,2024-01-28,0,0,0,0
472,2024-01-29,2024-02-04,0,0,0,0
473,2024-02-05,2024-02-11,0,0,0,1
474,2024-02-12,2024-02-18,0,0,0,0
475,2024-02-19,2024-02-25,0,1,0,0
476,2024-02-26,2024-03-03,0,0,0,0
477,2024-03-04,2024-03-10,0,0,0,0
478,2024-03-11,2024-03-17,0,0,0,1
479,2024-03-18,2024-03-24,0,0,0,0
480,2024-03-25,2024-03-31,0,1,0,0
481,2024-04-01,2024-04-07,0,0,0,0
482,2024-04-08,2024-04-14,0,0,0,0
483,2024-04-15,2024-04-21,0,0,0,0
484,2024-04-22,2024-04-28,0,0,0,0
485,2024-04-29,2024-05-05,0,0,0,1
486,2024-05-06,2024-05-12,0,0,0,2
487,2024-05-13,2024-05-19,0,1,0,0
488,2024-05-20,2024-05-26,0,2,0,0
489,2024-05-27,2024-06-02,0,0,0,0
490,2024-06-03,2024-06-09,0,0,0,0
491,2024-06-10,2024-06-16,0,0,0,0
492,2024-06-17,2024-06-23,0,0,0,0
493,2024-06-24,2024-06-30,0,0,0,1
494,2024-07-01,2024-07-07,0,0,0,0
495,2024-07-08,2024-07-14,0,1,0,0
496,2024-07-15,2024-07-21,0,0,0,0
497,2024-07-22,2024-07-28,0,0,0,1
498,2024-07-29,2024-08-04,0,0,0,0
499,2024-08-05,2024-08-11,0,1,0,1
500,2024-08-12,2024-08-18,0,0,0,0
501,2024-08-19,2024-08-25,0,1,0,0
502,2024-08-26,2024-09-01,0,0,0,0
503,2024-09-02,2024-09-08,0,0,0,0
504,2024-09-09,2024-09-15,0,0,0,0
505,2024-09-16,2024-09-22,0,0,0,0
506,2024-09-23,2024-09-29,0,0,0,0
507,2024-09-30,2024-10-06,0,0,0,0
508,2024-10-07,2024-10-13,0,0,0,0
509,2024-10-14,2024-10-20,0,0,0,0
510,2024-10-21,2024-10-27,0,0,0,0
511,2024-10-28,2024-11-03,0,0,1,0
512,2024-11-04,2024-11-10,0,0,0,0
513,2024-11-11,2024-11-17,1,0,0,1
514,2024-11-18,2024-11-24,0,0,0,0
515,2024-11-25,2024-12-01,0,1,0,0
516,2024-12-02,2024-12-08,0,0,0,0
517,2024-12-09,2024-12-15,0,0,0,0
518,2024-12-16,2024-12-22,0,0,0,2
519,2024-12-23,2024-12-29,0,0,0,0
520,2024-12-30,2025-01-05,0,2,0,3
521,2025-01-06,2025-01-12,0,0,0,0
522,2025-01-13,2025-01-19,0,3,0,1
523,2025-01-20,2025-01-26,0,0,0,1
524,2025-01-27,2025-02-02,0,1,0,0
525,2025-02-03,2025-02-09,0,1,0,0
526,2025-02-10,2025-02-16,0,0,0,0
527,2025-02-17,2025-02-23,0,0,0,0
528,2025-02-24,2025-03-02,0,0,0,0
529,2025-03-03,2025-03-09,0,0,0,0
530,2025-03-10,2025-03-16,0,0,0,0
531,2025-03-17,2025-03-23,0,0,0,0
532,2025-03-24,2025-03-30,0,0,0,0
533,2025-03-31,2025-04-06,0,0,0,1
534,2025-04-07,2025-04-13,0,0,0,0
535,2025-04-14,2025-04-20,0,1,0,0
536,2025-04-21,2025-04-27,0,0,0,0
537,2025-04-28,2025-05-04,0,0,0,4
538,2025-05-05,2025-05-11,0,0,0,0
